Time,Fila Max,Ocupacao,E[N],E[W],Lambda,Erro de Little
36600.000000,43,0.797558,3.968652,-1.552578,1.986940,7.053530
36700.000000,43,0.797559,3.966637,-1.913424,1.986730,7.768094
36800.000000,43,0.797360,3.962356,-1.564561,1.986603,7.070518
36900.000000,43,0.797231,3.958992,-1.525224,1.986721,6.989186
37000.000000,43,0.797332,3.963838,-1.443935,1.986757,6.832586
37100.000000,43,0.797613,3.977029,-1.954224,1.987170,7.860405
37200.000000,43,0.797750,3.974226,-2.377353,1.986935,8.697872
37300.000000,43,0.797803,3.974156,-2.125076,1.987185,8.197074
37400.000000,43,0.797489,3.968862,-1.958698,1.986417,7.859654
37500.000000,43,0.797168,3.963621,-1.347303,1.985947,6.639293
37600.000000,43,0.797406,3.965671,-1.414834,1.986197,6.775809
37700.000000,43,0.797293,3.962797,-1.394221,1.985756,6.731379
37800.000000,43,0.797770,3.988574,-1.311152,1.986296,6.592910
37900.000000,43,0.797882,3.996859,-1.836383,1.986016,7.643944
38000.000000,43,0.797947,3.997298,-2.481905,1.986474,8.927537
38100.000000,43,0.798191,3.996361,-2.265724,1.986142,8.496410
38200.000000,43,0.798082,3.992738,-2.212657,1.986126,8.387353
38300.000000,43,0.798153,3.987478,-2.031074,1.985953,8.021095
38400.000000,43,0.797914,3.985780,-1.879963,1.985599,7.718632
38500.000000,43,0.797940,3.990534,-1.633978,1.985558,7.234893
38600.000000,43,0.798034,3.987011,-1.696053,1.985855,7.355126
38700.000000,43,0.798092,3.982703,-1.651321,1.986021,7.262262
38800.000000,43,0.798192,3.982400,-1.887901,1.986340,7.732414
38900.000000,43,0.798018,3.979548,-1.690406,1.986118,7.336894
39000.000000,43,0.798374,4.000918,-1.334279,1.986897,6.651993
39100.000000,43,0.798218,4.001967,-1.397097,1.986010,6.776616
39200.000000,43,0.798521,4.010826,-0.546968,1.986352,5.097297
39300.000000,43,0.798827,4.031682,-0.766057,1.987074,5.553894
39400.000000,43,0.798722,4.029226,-0.946059,1.986827,5.908882
39500.000000,43,0.798805,4.028975,-1.090458,1.987241,6.195978
39600.000000,43,0.798582,4.027916,-1.197522,1.986970,6.407356
39700.000000,43,0.798825,4.034410,-0.905746,1.987834,5.834882
39800.000000,43,0.798910,4.036523,-0.902317,1.987789,5.830138
39900.000000,43,0.798763,4.032086,-0.504084,1.987343,5.033874
40000.000000,43,0.798978,4.039088,-0.485897,1.987175,5.004650
40100.000000,43,0.799041,4.038115,-0.769316,1.987082,5.566810
40200.000000,43,0.799017,4.042172,-0.754497,1.987239,5.541537
40300.000000,43,0.799391,4.058396,0.155908,1.987816,3.748479
40400.000000,43,0.799173,4.054082,0.196643,1.988193,3.663118
40500.000000,43,0.799200,4.052078,0.161588,1.988148,3.730818
40600.000000,43,0.799268,4.052096,0.154619,1.987709,3.744758
40700.000000,43,0.799073,4.047099,0.078480,1.987273,3.891137
40800.000000,43,0.798840,4.042042,0.080782,1.986936,3.881533
